---- START at 2025-08-11 00:28:17, Target=2557/2557 ----
[3/2557] APUPEH_clean_argon_313.0K_15.0bar_14.0 Done. TimeForThis=63.4s, Completed=1/2557, ETA=2025-08-12 21:30:56
[9/2557] AXINAX01_clean_argon_313.0K_15.0bar_14.0 Done. TimeForThis=107.7s, Completed=2/2557, ETA=2025-08-12 14:42:29
[19/2557] GISZUD_clean_argon_313.0K_15.0bar_14.0 Done. TimeForThis=230.4s, Completed=3/2557, ETA=2025-08-13 07:01:54
[18/2557] acs.chemmater.5b03723_cm5b03723_si_005_clean_argon_313.0K_15.0bar_14.0 Done. TimeForThis=261.6s, Completed=4/2557, ETA=2025-08-12 22:55:29
[15/2557] WEBKAR_clean_argon_313.0K_15.0bar_14.0 Done. TimeForThis=333.4s, Completed=5/2557, ETA=2025-08-12 23:50:02
[1/2557] YEFPAA_clean_argon_313.0K_15.0bar_14.0 Done. TimeForThis=365.3s, Completed=6/2557, ETA=2025-08-12 19:43:00
[29/2557] EGEJIK_manual_argon_313.0K_15.0bar_14.0 Done. TimeForThis=389.7s, Completed=7/2557, ETA=2025-08-12 16:01:01
[32/2557] CUGYUA_clean_argon_313.0K_15.0bar_14.0 Done. TimeForThis=302.0s, Completed=8/2557, ETA=2025-08-12 12:50:25
[17/2557] DUFGOB_clean_argon_313.0K_15.0bar_14.0 Done. TimeForThis=491.0s, Completed=9/2557, ETA=2025-08-12 15:13:08
[2/2557] GESFAN_clean_argon_313.0K_15.0bar_14.0 Done. TimeForThis=507.7s, Completed=10/2557, ETA=2025-08-12 12:32:02
[12/2557] LABNOU_clean_argon_313.0K_15.0bar_14.0 Done. TimeForThis=538.7s, Completed=11/2557, ETA=2025-08-12 11:15:20
[16/2557] EXIDOF_clean_argon_313.0K_15.0bar_14.0 Done. TimeForThis=545.4s, Completed=12/2557, ETA=2025-08-12 08:45:13
[7/2557] ILOJOJ_clean_argon_313.0K_15.0bar_14.0 Done. TimeForThis=549.7s, Completed=13/2557, ETA=2025-08-12 06:30:20
[33/2557] ATICAH_clean_argon_313.0K_15.0bar_14.0 Done. TimeForThis=407.6s, Completed=14/2557, ETA=2025-08-12 08:50:28
[35/2557] FURRUG01_ion_b_argon_313.0K_15.0bar_14.0 Done. TimeForThis=317.4s, Completed=15/2557, ETA=2025-08-12 07:17:26
[23/2557] IKUTOZ_clean_argon_313.0K_15.0bar_14.0 Done. TimeForThis=877.6s, Completed=16/2557, ETA=2025-08-12 15:25:44
[10/2557] IXOFOR_clean_argon_313.0K_15.0bar_14.0 Done. TimeForThis=901.7s, Completed=17/2557, ETA=2025-08-12 14:08:39
[6/2557] JEBCOJ_clean_argon_313.0K_15.0bar_14.0 Done. TimeForThis=913.4s, Completed=18/2557, ETA=2025-08-12 12:30:47
[37/2557] BEPVOJ_clean_argon_313.0K_15.0bar_14.0 Done. TimeForThis=550.2s, Completed=19/2557, ETA=2025-08-12 11:36:31
[21/2557] CUBHOY_clean_argon_313.0K_15.0bar_14.0 Done. TimeForThis=1030.4s, Completed=20/2557, ETA=2025-08-12 13:03:57
[5/2557] DAXHIV_clean_argon_313.0K_15.0bar_14.0 Done. TimeForThis=1041.3s, Completed=21/2557, ETA=2025-08-12 11:41:24
[42/2557] ESEQUO_clean_argon_313.0K_15.0bar_14.0 Done. TimeForThis=556.3s, Completed=22/2557, ETA=2025-08-12 12:02:25
[28/2557] CEYPUT01_clean_argon_313.0K_15.0bar_14.0 Done. TimeForThis=1189.9s, Completed=23/2557, ETA=2025-08-12 13:12:59
[45/2557] BEPVOJ01_clean_argon_313.0K_15.0bar_14.0 Done. TimeForThis=602.4s, Completed=24/2557, ETA=2025-08-12 13:33:42
[44/2557] LODCUC_clean_argon_313.0K_15.0bar_14.0 Done. TimeForThis=663.4s, Completed=25/2557, ETA=2025-08-12 13:26:49
[52/2557] OFAMUF_clean_argon_313.0K_15.0bar_14.0 Done. TimeForThis=223.5s, Completed=26/2557, ETA=2025-08-12 12:40:26
[4/2557] CURQEN_clean_argon_313.0K_15.0bar_14.0 Done. TimeForThis=1371.5s, Completed=27/2557, ETA=2025-08-12 12:33:07
[27/2557] EBIMEJ_clean_argon_313.0K_15.0bar_14.0 Done. TimeForThis=1385.3s, Completed=28/2557, ETA=2025-08-12 11:36:49
[20/2557] DORFAS_clean_argon_313.0K_15.0bar_14.0 Done. TimeForThis=1442.7s, Completed=29/2557, ETA=2025-08-12 11:48:27
[50/2557] BUNKUS_clean_argon_313.0K_15.0bar_14.0 Done. TimeForThis=476.2s, Completed=30/2557, ETA=2025-08-12 12:08:30
[26/2557] EGOXII_clean_argon_313.0K_15.0bar_14.0 Done. TimeForThis=1554.9s, Completed=31/2557, ETA=2025-08-12 12:05:48
[57/2557] IWAYOU_clean_argon_313.0K_15.0bar_14.0 Done. TimeForThis=188.6s, Completed=32/2557, ETA=2025-08-12 11:06:00
[54/2557] EMIYUW_clean_argon_313.0K_15.0bar_14.0 Done. TimeForThis=384.3s, Completed=33/2557, ETA=2025-08-12 11:43:02
[49/2557] ja905009e_si_002_clean_argon_313.0K_15.0bar_14.0 Done. TimeForThis=704.5s, Completed=34/2557, ETA=2025-08-12 10:49:24
[11/2557] DEQVIF_clean_argon_313.0K_15.0bar_14.0 Done. TimeForThis=1675.5s, Completed=35/2557, ETA=2025-08-12 10:28:22
[14/2557] DUXMAL_clean_argon_313.0K_15.0bar_14.0 Done. TimeForThis=1688.2s, Completed=36/2557, ETA=2025-08-12 09:46:47
[30/2557] EPOPEG_clean_argon_313.0K_15.0bar_14.0 Done. TimeForThis=1725.1s, Completed=37/2557, ETA=2025-08-12 09:35:15
[25/2557] VIWQUP_clean_argon_313.0K_15.0bar_14.0 Done. TimeForThis=1812.5s, Completed=38/2557, ETA=2025-08-12 10:20:59
[64/2557] CUFQUR_clean_argon_313.0K_15.0bar_14.0 Done. TimeForThis=228.4s, Completed=39/2557, ETA=2025-08-12 10:34:42
[59/2557] ja111042f_si_002_clean_argon_313.0K_15.0bar_14.0 Done. TimeForThis=443.8s, Completed=40/2557, ETA=2025-08-12 09:58:17
[38/2557] FIVYUF_clean_argon_313.0K_15.0bar_14.0 Done. TimeForThis=1509.9s, Completed=41/2557, ETA=2025-08-12 09:43:30
[51/2557] BUVYIB_clean_argon_313.0K_15.0bar_14.0 Done. TimeForThis=934.7s, Completed=42/2557, ETA=2025-08-12 09:53:17
[43/2557] JIVSIR01_clean_argon_313.0K_15.0bar_14.0 Done. TimeForThis=1460.6s, Completed=43/2557, ETA=2025-08-12 09:40:41
[39/2557] ic402692p_si_002_clean_argon_313.0K_15.0bar_14.0 Done. TimeForThis=1522.7s, Completed=44/2557, ETA=2025-08-12 08:58:41
[61/2557] IROVAO_clean_argon_313.0K_15.0bar_14.0 Done. TimeForThis=499.7s, Completed=45/2557, ETA=2025-08-12 08:54:03
[46/2557] FASGIS_clean_argon_313.0K_15.0bar_14.0 Done. TimeForThis=1189.6s, Completed=46/2557, ETA=2025-08-12 08:23:27
[22/2557] APAZOI_clean_argon_313.0K_15.0bar_14.0 Done. TimeForThis=2102.5s, Completed=47/2557, ETA=2025-08-12 08:14:40
[56/2557] BETGAK_clean_argon_313.0K_15.0bar_14.0 Done. TimeForThis=786.9s, Completed=48/2557, ETA=2025-08-12 07:43:29
[13/2557] FALSAO_clean_argon_313.0K_15.0bar_14.0 Done. TimeForThis=2143.4s, Completed=49/2557, ETA=2025-08-12 07:32:26
[62/2557] cm503311x_alf290K_clean_argon_313.0K_15.0bar_14.0 Done. TimeForThis=588.6s, Completed=50/2557, ETA=2025-08-12 06:59:44
[24/2557] IWOKUC_clean_argon_313.0K_15.0bar_14.0 Done. TimeForThis=2195.9s, Completed=51/2557, ETA=2025-08-12 07:03:12
[31/2557] CAVMIX_clean_argon_313.0K_15.0bar_14.0 Done. TimeForThis=2204.0s, Completed=52/2557, ETA=2025-08-12 07:26:32
[65/2557] FOQPAE02_clean_argon_313.0K_15.0bar_14.0 Done. TimeForThis=670.3s, Completed=53/2557, ETA=2025-08-12 07:54:31
[8/2557] UNACES01_clean_argon_313.0K_15.0bar_14.0 Done. TimeForThis=2363.9s, Completed=54/2557, ETA=2025-08-12 07:33:52
[82/2557] ZIVCOY_clean_argon_313.0K_15.0bar_14.0 Done. TimeForThis=118.4s, Completed=55/2557, ETA=2025-08-12 07:16:55
[81/2557] JAKBIJ_clean_argon_313.0K_15.0bar_14.0 Done. TimeForThis=249.7s, Completed=56/2557, ETA=2025-08-12 07:29:21
[69/2557] cm503311x_aloh500K_clean_argon_313.0K_15.0bar_14.0 Done. TimeForThis=585.7s, Completed=57/2557, ETA=2025-08-12 07:06:21
[68/2557] AFITUF_clean_argon_313.0K_15.0bar_14.0 Done. TimeForThis=675.9s, Completed=58/2557, ETA=2025-08-12 06:56:42
[58/2557] EYULOA_clean_argon_313.0K_15.0bar_14.0 Done. TimeForThis=1186.9s, Completed=59/2557, ETA=2025-08-12 07:26:14
[79/2557] BUWMEN_clean_argon_313.0K_15.0bar_14.0 Done. TimeForThis=556.4s, Completed=60/2557, ETA=2025-08-12 08:25:53
[76/2557] BIFGOO_clean_argon_313.0K_15.0bar_14.0 Done. TimeForThis=647.8s, Completed=61/2557, ETA=2025-08-12 08:05:06
[78/2557] CUVHIL_clean_h_argon_313.0K_15.0bar_14.0 Done. TimeForThis=679.6s, Completed=62/2557, ETA=2025-08-12 08:27:12
[66/2557] ULILEI_clean_argon_313.0K_15.0bar_14.0 Done. TimeForThis=1107.5s, Completed=63/2557, ETA=2025-08-12 07:59:28
[88/2557] FOHCIP_clean_argon_313.0K_15.0bar_14.0 Done. TimeForThis=308.0s, Completed=64/2557, ETA=2025-08-12 07:30:24
[75/2557] FERVIJ_clean_argon_313.0K_15.0bar_14.0 Done. TimeForThis=765.2s, Completed=65/2557, ETA=2025-08-12 07:17:02
[83/2557] CUMDUK_clean_argon_313.0K_15.0bar_14.0 Done. TimeForThis=532.4s, Completed=66/2557, ETA=2025-08-12 07:26:45
[55/2557] ATOWIQ_clean_argon_313.0K_15.0bar_14.0 Done. TimeForThis=1592.6s, Completed=67/2557, ETA=2025-08-12 07:09:05
[89/2557] DOYBUQ01_clean_argon_313.0K_15.0bar_14.0 Done. TimeForThis=422.0s, Completed=68/2557, ETA=2025-08-12 07:44:49
[93/2557] CARGEI_clean_argon_313.0K_15.0bar_14.0 Done. TimeForThis=220.2s, Completed=69/2557, ETA=2025-08-12 07:31:03
[73/2557] HAKCAZ_clean_argon_313.0K_15.0bar_14.0 Done. TimeForThis=1050.8s, Completed=70/2557, ETA=2025-08-12 07:31:54
[74/2557] DAXHUH01_clean_argon_313.0K_15.0bar_14.0 Done. TimeForThis=1066.4s, Completed=71/2557, ETA=2025-08-12 07:17:04
[97/2557] SUPQAW_clean_argon_313.0K_15.0bar_14.0 Done. TimeForThis=195.0s, Completed=72/2557, ETA=2025-08-12 06:56:40
