qt_indices,rd_indices
3738,6867
4375,4386
3212,7258
5135,3825
4114,7262
6581,5963
7626,2454
6427,1564
2361,1830
6705,7726
6319,579
1339,5342
7150,3958
3565,792
6992,3190
4676,3369
6197,2714
2833,6553
5870,3684
5494,7543
4821,291
3597,2490
4156,5560
4345,2295
7078,3525
1150,4179
7084,2857
6990,2883
85,1449
794,4041
1198,6875
7624,5104
1436,5626
5630,7126
6327,2306
6871,4912
4844,5177
2364,3677
5280,4576
4693,7506
1990,1354
295,4865
5673,442
7406,3028
1785,1341
989,6421
4462,6161
6056,7267
618,4653
539,560
7272,5559
6742,2320
5347,7202
3777,2243
6499,3450
4575,5109
2850,7187
2561,1080
4618,4312
2556,5959
2340,1377
312,7254
4955,3022
5059,6336
405,6467
2980,366
1036,5425
3824,3904
5358,5851
1280,2289
3455,6159
7473,2186
3069,3725
3907,7357
1101,7489
439,6138
1389,1475
2520,2942
6987,3096
2291,3542
1962,1612
4860,6565
4799,2180
4746,1925
3699,4476
4263,2300
3762,2634
4053,1887
2667,7032
4767,111
7086,2144
1428,1062
4903,238
103,4558
130,4218
5115,3637
1415,232
5917,4707
6146,3057
2838,5142
6390,1953
5261,2168
6486,3603
3273,6578
2430,7304
4332,7247
2797,2875
2032,3734
1607,1234
2414,4294
2974,5916
1186,5133
2526,5148
5416,2503
821,815
4542,1512
317,5392
1254,6587
825,407
3401,3591
3380,1932
379,4469
3753,2426
1766,4450
5264,1182
2150,2234
6053,5419
569,4866
5540,5644
7640,4549
886,4720
2175,6889
7403,7198
2000,390
2084,2460
1542,5241
6723,2719
5780,5953
5930,2568
1431,6127
7026,5246
2891,4333
1848,1343
6062,3044
5584,6502
5701,4017
5730,670
5496,1762
5615,5116
3553,4893
1130,5060
5848,5282
1159,7515
2319,3914
82,5810
3949,6350
950,5138
371,1141
2207,7628
4084,5978
6150,6104
1476,2694
3649,5816
2660,1713
700,648
6203,6700
2472,1574
4208,5160
6254,753
5330,4314
2661,4216
7521,3735
1497,372
4563,3840
2145,4715
925,785
6343,7151
5002,2327
1557,3511
7177,3354
6291,3498
1792,5331
7364,7569
5833,1358
1023,4557
3120,1333
140,6673
6170,5600
1486,3642
6969,4603
5019,6142
1837,2512
4784,6429
4946,6168
2811,6823
336,409
556,4751
760,911
5095,4672
2625,3609
6433,3933
5229,3678
3081,1249
3891,4492
1386,2170
2772,3271
1702,3234
5976,7436
7279,6482
7371,4176
2586,3173
7464,6978
1851,2554
7690,5604
3679,4985
4651,5969
2368,7311
1135,4456
3676,1083
5683,3445
4857,2605
4149,2148
1969,3756
7725,6800
165,3046
4995,7239
4496,3509
6334,3797
7318,998
6783,3514
466,6250
2657,4481
5292,3467
6575,3170
7721,411
4852,5724
3336,1815
4457,4926
5765,5092
671,5961
4770,2250
7608,40
6657,3728
3269,5143
3037,3620
2924,5353
6066,7445
6361,3873
797,6709
5402,3695
7701,6703
3235,134
2866,3441
1582,7130
3650,890
4491,7240
3045,7098
6477,6065
6320,6215
6743,4337
386,7627
7394,4173
593,1154
1369,4974
3674,3879
4399,3745
4596,2309
7442,7620
3008,2676
5338,4474
5336,2042
7135,2745
4012,1807
1573,3845
1521,5541
1799,3451
3880,3183
3093,5984
1752,333
6778,6574
1503,5064
206,7685
1396,598
7039,4891
6975,3789
3423,5635
38,6733
837,5189
5262,5355
1922,746
4346,4773
3885,434
3031,5718
2209,567
3231,2649
3442,1802
1708,1054
7146,1603
3293,444
4440,7508
4826,6799
810,1749
6788,584
2363,4330
2188,2846
6420,926
6697,470
6470,2223
4673,5989
1629,2172
5992,3490
5373,1804
7323,3946
5216,2058
882,7643
4695,961
1136,4303
7676,2560
2193,2593
614,867
3546,5420
3573,638
1222,5830
3865,2013
4987,2654
5188,1278
6804,2174
3485,2272
7369,216
6064,6363
5121,874
7104,6843
5544,7655
5661,2752
7260,1910
5840,6759
7577,4119
4458,3420
6231,5230
1003,5537
5865,3589
714,6411
4958,5750
2645,3917
1993,5037
6475,7420
1422,6314
4540,3872
2254,7164
7355,268
910,2100
4520,4963
2171,6174
1085,4487
1552,938
502,5323
163,1930
6212,6658
5649,6316
4004,3746
562,4501
6469,4146
2038,7427
991,6645
203,4483
6232,2334
441,4136
6337,7064
4178,6973
4245,1791
2975,4465
5782,664
105,1991
4042,5753
3521,4095
667,3893
5454,751
7635,999
6493,7749
946,3150
4814,5150
941,382
6279,5842
5061,3974
2946,6158
5154,29
5658,3948
6801,7697
4680,3683
5562,6491
2890,3243
2276,7042
6675,3021
1223,4998
3798,5548
2195,3575
7391,6808
273,1898
5499,1231
3373,1761
3141,985
864,3583
2444,2783
6854,261
4550,4485
1723,2757
4611,1356
6686,5532
5938,2590
5218,6239
495,3741
1505,2910
6615,2326
6821,3696
1974,730
4747,5354
5010,5284
7679,3499
6163,4532
7172,2985
917,1726
1204,7071
5986,3947
7087,5141
2775,3417
3754,7278
6196,2350
4441,2132
2929,7474
3242,6041
4423,6979
5972,1185
1833,6024
7651,3585
4782,3385
4371,5401
2485,7499
6865,2109
1052,896
1498,3135
3758,3253
3210,7063
6802,3977
7431,113
3398,2066
3429,5438
2330,3292
5052,1924
819,2073
4637,4733
5954,5244
1590,7168
1860,7188
13,3671
7460,2411
6888,214
5767,4533
6296,1695
5987,1710
632,2575
182,6504
5475,4402
1350,6988
7617,128
5477,5268
6516,2299
1619,2182
1644,4157
5169,5934
6853,4552
3462,6338
5270,3925
2784,3426
4697,2812
3594,6402
2292,5065
7657,686
3915,7727
2746,3090
5836,5877
1403,6143
6937,3690
7533,1228
595,5717
5482,2562
1460,7082
488,7432
5082,5313
7610,5290
719,6644
2059,2559
2816,4766
3478,7108
6701,7466
6680,7612
508,6265
5759,5570
1889,4352
6815,7058
7300,1906
2476,5763
6711,637
745,2050
3596,1691
3751,5620
5923,4573
827,6698
5595,7327
6310,1526
4975,1591
6950,7693
4934,2285
2459,7077
4664,3863
4675,235
973,7493
410,1547
5641,3407
843,3447
4145,5590
3568,4079
949,1756
3247,1885
7326,4321
4061,2261
2563,4816
1448,6933
2960,557
594,1306
2608,4939
1437,591
871,7647
7601,4467
1534,2344
1907,2612
4598,4229
4601,6128
7217,590
6207,6847
4258,3494
4748,6792
2438,7003
307,2997
3491,6848
6653,1133
6677,5444
108,4614
3266,2356
1464,577
3166,6386
6019,3010
5009,7750
7731,5951
3832,1914
5011,7671
7110,4861
846,4404
6020,5991
1541,2423
3089,2213
4066,2919
5689,5699
2848,6735
4568,6162
1929,7047
2793,375
2360,735
5711,5785
70,6530
2510,7292
6002,1986
5576,1836
452,1206
1890,5469
4336,2808
6589,4035
3871,3014
6744,5906
2535,2905
6547,5889
2115,782
46,2736
7511,6395
3290,3841
3118,315
1309,2071
4521,5281
1842,4662
4495,551
6457,5026
6086,4130
5982,1143
3531,7395
6078,4101
7325,3709
2893,5365
5165,1637
3616,4798
4366,3935
1596,959
4446,3866
4020,6556
5640,6566
5012,4350
5791,3285
1265,6719
6524,1960
3077,6140
6625,4966
2632,574
6527,7542
7743,5580
104,6220
2410,3539
7351,6787
7034,6026
2046,3939
363,3267
6629,3757
4583,2528
2856,2899
1433,6495
1684,141
3460,2467
2238,6683
517,3227
6602,6264
5838,4942
4254,3559
2573,4725
3523,914
1506,7298
1088,979
4959,4077
5637,7555
1473,1442
236,3068
4589,4472
770,6852
7548,5364
3390,2314
225,2501
884,224
4422,6599
462,2951
5970,5651
3275,4699
1693,4639
6036,6873
2409,679
4498,2337
5233,2976
3250,6360
1162,2201
4968,3659
3821,2581
5357,7075
3859,159
1160,6080
2092,4127
5903,3075
77,2987
4285,6067
5191,1269
3602,2245
3280,1274
2158,6451
1525,3781
15,5158
2229,7159
907,1539
7269,329
211,7347
3703,3986
1757,1873
4432,5787
7358,402
7454,3820
3218,86
3764,2324
3104,2349
7230,2953
6237,3158
55,151
3311,7282
4931,1111
6192,3808
2217,2096
347,555
1184,4260
2604,922
3070,2872
5703,2800
4882,1601
4510,98
2028,6734
4762,5770
6891,6849
7673,1822
287,5598
7232,4304
3918,6205
6976,2075
912,1843
3628,4050
3579,1902
4739,187
1715,3586
7259,1443
6331,6241
135,202
280,3409
6970,1348
3984,5550
6883,6191
4365,1563
4090,1921
5356,1581
4319,954
1267,3655
2802,433
6228,4175
5677,1863
2655,6297
2725,5406
7001,2230
4599,4435
3590,6563
4994,707
2989,7341
