---- START at 2025-03-26 23:31:06, Target=6013/6013 ----
[1/6013] __pycache__ FAILED: Command '/home/ys/Research/PSID_server_room/simulations/[02]RASPA/bin/simulate simulation.input' died with <Signals.SIGSEGV: 11>.
[23/6013] AVAKAL_clean_helium_293.0K_0.01bar_14.0 Done. TimeForThis=21.5s, Completed=1/6013, ETA=2025-03-28 11:27:29
[33/6013] GEBPEK_clean_helium_293.0K_0.01bar_14.0 Done. TimeForThis=23.4s, Completed=2/6013, ETA=2025-03-27 19:07:23
[17/6013] IYESUC_clean_helium_293.0K_0.01bar_14.0 Done. TimeForThis=37.0s, Completed=3/6013, ETA=2025-03-27 20:06:41
[25/6013] TAZYAV_clean_helium_293.0K_0.01bar_14.0 Done. TimeForThis=37.4s, Completed=4/6013, ETA=2025-03-27 15:09:32
[30/6013] CUPHUS_clean_helium_293.0K_0.01bar_14.0 Done. TimeForThis=39.5s, Completed=5/6013, ETA=2025-03-27 12:43:09
[31/6013] OWIJIP_clean_helium_293.0K_0.01bar_14.0 Done. TimeForThis=45.2s, Completed=6/6013, ETA=2025-03-27 12:07:11
[8/6013] AVUCEA_clean_helium_293.0K_0.01bar_14.0 Done. TimeForThis=45.8s, Completed=7/6013, ETA=2025-03-27 10:26:25
[5/6013] NUMPAO_clean_helium_293.0K_0.01bar_14.0 Done. TimeForThis=46.3s, Completed=8/6013, ETA=2025-03-27 09:11:09
[21/6013] ULOMAL_clean_helium_293.0K_0.01bar_14.0 Done. TimeForThis=47.9s, Completed=9/6013, ETA=2025-03-27 08:24:59
[22/6013] RARYUF_clean_helium_293.0K_0.01bar_14.0 Done. TimeForThis=51.0s, Completed=10/6013, ETA=2025-03-27 08:03:02
[35/6013] NUTQAV_clean_helium_293.0K_0.01bar_14.0 Done. TimeForThis=30.2s, Completed=11/6013, ETA=2025-03-27 07:21:55
[29/6013] SOBZEQ_clean_helium_293.0K_0.01bar_14.0 Done. TimeForThis=53.3s, Completed=12/6013, ETA=2025-03-27 06:56:42
[2/6013] IWOTAQ_clean_helium_293.0K_0.01bar_14.0 Done. TimeForThis=53.6s, Completed=13/6013, ETA=2025-03-27 06:24:12
[26/6013] YEKXOD_clean_helium_293.0K_0.01bar_14.0 Done. TimeForThis=59.2s, Completed=14/6013, ETA=2025-03-27 06:35:30
[4/6013] WAVROC_clean_helium_293.0K_0.01bar_14.0 Done. TimeForThis=59.6s, Completed=15/6013, ETA=2025-03-27 06:09:28
[11/6013] HAWWAF_clean_helium_293.0K_0.01bar_14.0 Done. TimeForThis=59.7s, Completed=16/6013, ETA=2025-03-27 05:45:06
[28/6013] WIPLOY_clean_helium_293.0K_0.01bar_14.0 Done. TimeForThis=60.7s, Completed=17/6013, ETA=2025-03-27 05:28:59
[3/6013] ARIDIQ_clean_helium_293.0K_0.01bar_14.0 Done. TimeForThis=62.1s, Completed=18/6013, ETA=2025-03-27 05:16:58
[7/6013] UMESIQ_clean_helium_293.0K_0.01bar_14.0 Done. TimeForThis=64.7s, Completed=19/6013, ETA=2025-03-27 05:12:28
[24/6013] XEQRAO_clean_helium_293.0K_0.01bar_14.0 Done. TimeForThis=69.7s, Completed=20/6013, ETA=2025-03-27 05:20:35
[32/6013] YUMKAU_clean_helium_293.0K_0.01bar_14.0 Done. TimeForThis=70.1s, Completed=21/6013, ETA=2025-03-27 05:05:45
[16/6013] UXACAY_clean_helium_293.0K_0.01bar_14.0 Done. TimeForThis=75.3s, Completed=22/6013, ETA=2025-03-27 05:14:17
[34/6013] acs.inorgchem.6b00413_ic6b00413_si_003_clean_helium_293.0K_0.01bar_14.0 Done. TimeForThis=75.7s, Completed=23/6013, ETA=2025-03-27 05:01:15
[18/6013] ASEKAM_clean_helium_293.0K_0.01bar_14.0 Done. TimeForThis=76.7s, Completed=24/6013, ETA=2025-03-27 04:51:26
[19/6013] NOWGIR_clean_helium_293.0K_0.01bar_14.0 Done. TimeForThis=79.8s, Completed=25/6013, ETA=2025-03-27 04:51:16
[45/6013] LAWGIA_clean_helium_293.0K_0.01bar_14.0 Done. TimeForThis=32.0s, Completed=26/6013, ETA=2025-03-27 04:53:36
[39/6013] ETUWIA_clean_helium_293.0K_0.01bar_14.0 Done. TimeForThis=46.7s, Completed=27/6013, ETA=2025-03-27 04:50:57
[27/6013] CIPCUB_clean_helium_293.0K_0.01bar_14.0 Done. TimeForThis=90.1s, Completed=28/6013, ETA=2025-03-27 04:53:52
