---- START at 2025-03-25 05:53:18, Target=4009/4009 ----
[1/4009] __pycache__ FAILED: Command '/home/ys/Research/PSID_server_room/simulations/[02]RASPA/bin/simulate simulation.input' died with <Signals.SIGSEGV: 11>.
[2/4009] QAWDID_clean_helium_293.0K_0.1bar_14.0 Done. TimeForThis=22.9s, Completed=1/4009, ETA=2025-03-26 07:21:11
[24/4009] XISPEW01_clean_helium_293.0K_0.1bar_14.0 Done. TimeForThis=41.2s, Completed=2/4009, ETA=2025-03-26 04:51:08
[12/4009] LASREF_clean_helium_293.0K_0.1bar_14.0 Done. TimeForThis=48.5s, Completed=3/4009, ETA=2025-03-25 23:53:57
[23/4009] OTEHAY_clean_helium_293.0K_0.1bar_14.0 Done. TimeForThis=52.6s, Completed=4/4009, ETA=2025-03-25 20:31:55
[9/4009] jacs.6b08724_ja6b08724_si_015_clean_helium_293.0K_0.1bar_14.0 Done. TimeForThis=52.7s, Completed=5/4009, ETA=2025-03-25 17:37:16
[8/4009] JOKYEN_clean_helium_293.0K_0.1bar_14.0 Done. TimeForThis=53.9s, Completed=6/4009, ETA=2025-03-25 15:53:32
[19/4009] WESNIS_clean_helium_293.0K_0.1bar_14.0 Done. TimeForThis=55.6s, Completed=7/4009, ETA=2025-03-25 14:44:39
[6/4009] IZEWAN_clean_helium_293.0K_0.1bar_14.0 Done. TimeForThis=59.4s, Completed=8/4009, ETA=2025-03-25 14:09:25
[16/4009] FAGREM_clean_helium_293.0K_0.1bar_14.0 Done. TimeForThis=63.4s, Completed=9/4009, ETA=2025-03-25 13:44:15
[20/4009] OGEBAF_clean_helium_293.0K_0.1bar_14.0 Done. TimeForThis=64.4s, Completed=10/4009, ETA=2025-03-25 13:03:31
[28/4009] IGOJEV_clean_helium_293.0K_0.1bar_14.0 Done. TimeForThis=64.7s, Completed=11/4009, ETA=2025-03-25 12:26:50
[29/4009] EQUBIC_clean_helium_293.0K_0.1bar_14.0 Done. TimeForThis=67.8s, Completed=12/4009, ETA=2025-03-25 12:10:57
[34/4009] OXALEF_clean_helium_293.0K_0.1bar_14.0 Done. TimeForThis=60.0s, Completed=13/4009, ETA=2025-03-25 12:59:21
[5/4009] SOGXAP_clean_helium_293.0K_0.1bar_14.0 Done. TimeForThis=84.9s, Completed=14/4009, ETA=2025-03-25 12:38:29
[27/4009] ROBWAH_clean_helium_293.0K_0.1bar_14.0 Done. TimeForThis=86.5s, Completed=15/4009, ETA=2025-03-25 12:18:54
[13/4009] BOYTEQ_clean_helium_293.0K_0.1bar_14.0 Done. TimeForThis=92.0s, Completed=16/4009, ETA=2025-03-25 12:17:38
[31/4009] SEQTEP_clean_helium_293.0K_0.1bar_14.0 Done. TimeForThis=92.0s, Completed=17/4009, ETA=2025-03-25 11:55:14
[33/4009] DOCKOW_clean_helium_293.0K_0.1bar_14.0 Done. TimeForThis=93.3s, Completed=18/4009, ETA=2025-03-25 11:39:55
[43/4009] XIYYEL_clean_helium_293.0K_0.1bar_14.0 Done. TimeForThis=30.2s, Completed=19/4009, ETA=2025-03-25 11:25:51
[3/4009] NUJCEA_clean_helium_293.0K_0.1bar_14.0 Done. TimeForThis=96.0s, Completed=20/4009, ETA=2025-03-25 11:13:59
[10/4009] EQOCOC01_clean_helium_293.0K_0.1bar_14.0 Done. TimeForThis=98.3s, Completed=21/4009, ETA=2025-03-25 11:06:02
[4/4009] NUCBIY_clean_helium_293.0K_0.1bar_14.0 Done. TimeForThis=99.1s, Completed=22/4009, ETA=2025-03-25 10:54:10
[30/4009] COJMOF02_clean_helium_293.0K_0.1bar_14.0 Done. TimeForThis=99.5s, Completed=23/4009, ETA=2025-03-25 10:42:29
[15/4009] ZAXTAV_clean_helium_293.0K_0.1bar_14.0 Done. TimeForThis=99.5s, Completed=24/4009, ETA=2025-03-25 10:30:31
[36/4009] ODOMIF_clean_helium_293.0K_0.1bar_14.0 Done. TimeForThis=51.2s, Completed=25/4009, ETA=2025-03-25 10:19:52
[25/4009] LOCNIB_clean_helium_293.0K_0.1bar_14.0 Done. TimeForThis=103.3s, Completed=26/4009, ETA=2025-03-25 10:18:45
[35/4009] ATIBOU01_clean_helium_293.0K_0.1bar_14.0 Done. TimeForThis=67.8s, Completed=27/4009, ETA=2025-03-25 10:23:06
[32/4009] RAYFAA_clean_helium_293.0K_0.1bar_14.0 Done. TimeForThis=113.4s, Completed=28/4009, ETA=2025-03-25 10:23:58
[18/4009] KIFXOO_clean_helium_293.0K_0.1bar_14.0 Done. TimeForThis=117.1s, Completed=29/4009, ETA=2025-03-25 10:23:16
[39/4009] ZIMLUE_clean_helium_293.0K_0.1bar_14.0 Done. TimeForThis=64.2s, Completed=30/4009, ETA=2025-03-25 10:16:25
[38/4009] NEDWAW_clean_helium_293.0K_0.1bar_14.0 Done. TimeForThis=66.1s, Completed=31/4009, ETA=2025-03-25 10:09:17
[17/4009] EGATIQ_clean_helium_293.0K_0.1bar_14.0 Done. TimeForThis=121.1s, Completed=32/4009, ETA=2025-03-25 10:06:12
[37/4009] NAWHOL_clean_helium_293.0K_0.1bar_14.0 Done. TimeForThis=69.6s, Completed=33/4009, ETA=2025-03-25 10:00:46
[42/4009] UMOVEZ04_clean_helium_293.0K_0.1bar_14.0 Done. TimeForThis=60.2s, Completed=34/4009, ETA=2025-03-25 09:56:20
[14/4009] AVUHIJ_clean_helium_293.0K_0.1bar_14.0 Done. TimeForThis=128.3s, Completed=35/4009, ETA=2025-03-25 09:58:11
[21/4009] WODREO_clean_helium_293.0K_0.1bar_14.0 Done. TimeForThis=136.1s, Completed=36/4009, ETA=2025-03-25 10:05:57
[49/4009] UDAWUU_clean_helium_293.0K_0.1bar_14.0 Done. TimeForThis=48.7s, Completed=37/4009, ETA=2025-03-25 10:07:27
[54/4009] SEHSOO_clean_helium_293.0K_0.1bar_14.0 Done. TimeForThis=49.3s, Completed=38/4009, ETA=2025-03-25 10:12:47
[47/4009] VETMIS_clean_helium_293.0K_0.1bar_14.0 Done. TimeForThis=63.1s, Completed=39/4009, ETA=2025-03-25 10:06:52
[41/4009] XIHSAJ_clean_helium_293.0K_0.1bar_14.0 Done. TimeForThis=90.3s, Completed=40/4009, ETA=2025-03-25 10:03:20
[57/4009] XIGHIF_clean_helium_293.0K_0.1bar_14.0 Done. TimeForThis=50.3s, Completed=41/4009, ETA=2025-03-25 09:57:32
[40/4009] YOYQEK_clean_helium_293.0K_0.1bar_14.0 Done. TimeForThis=94.9s, Completed=42/4009, ETA=2025-03-25 09:52:50
[53/4009] UMOVID_clean_helium_293.0K_0.1bar_14.0 Done. TimeForThis=60.2s, Completed=43/4009, ETA=2025-03-25 09:56:00
[45/4009] EXUSAT_clean_helium_293.0K_0.1bar_14.0 Done. TimeForThis=89.6s, Completed=44/4009, ETA=2025-03-25 09:52:23
[59/4009] LOGXEM_clean_helium_293.0K_0.1bar_14.0 Done. TimeForThis=56.1s, Completed=45/4009, ETA=2025-03-25 09:50:00
[50/4009] KONCIA_clean_helium_293.0K_0.1bar_14.0 Done. TimeForThis=67.8s, Completed=46/4009, ETA=2025-03-25 09:45:32
[22/4009] EGEJUW_clean_helium_293.0K_0.1bar_14.0 Done. TimeForThis=160.6s, Completed=47/4009, ETA=2025-03-25 09:41:36
[52/4009] AFITUF_clean_helium_293.0K_0.1bar_14.0 Done. TimeForThis=67.3s, Completed=48/4009, ETA=2025-03-25 09:38:39
[61/4009] UMOYOM17_clean_helium_293.0K_0.1bar_14.0 Done. TimeForThis=50.8s, Completed=49/4009, ETA=2025-03-25 09:37:18
[67/4009] LAVSUY_clean_helium_293.0K_0.1bar_14.0 Done. TimeForThis=44.4s, Completed=50/4009, ETA=2025-03-25 09:37:53
[48/4009] DUYREV_clean_helium_293.0K_0.1bar_14.0 Done. TimeForThis=90.5s, Completed=51/4009, ETA=2025-03-25 09:45:14
[60/4009] ALIXOJ_clean_helium_293.0K_0.1bar_14.0 Done. TimeForThis=70.6s, Completed=52/4009, ETA=2025-03-25 09:44:04
[7/4009] QODQEH_clean_helium_293.0K_0.1bar_14.0 Done. TimeForThis=179.7s, Completed=53/4009, ETA=2025-03-25 09:39:50
[65/4009] j.jssc.2016.06.015_ZJU-10_clean_helium_293.0K_0.1bar_14.0 Done. TimeForThis=67.2s, Completed=54/4009, ETA=2025-03-25 09:46:16
[46/4009] ic202626c_si_002_clean_helium_293.0K_0.1bar_14.0 Done. TimeForThis=106.3s, Completed=55/4009, ETA=2025-03-25 09:43:05
[11/4009] EKEKOW_clean_helium_293.0K_0.1bar_14.0 Done. TimeForThis=189.4s, Completed=56/4009, ETA=2025-03-25 09:39:17
[26/4009] KOHLIE_clean_helium_293.0K_0.1bar_14.0 Done. TimeForThis=191.3s, Completed=57/4009, ETA=2025-03-25 09:37:32
[51/4009] GOPTIQ_clean_helium_293.0K_0.1bar_14.0 Done. TimeForThis=109.1s, Completed=58/4009, ETA=2025-03-25 09:46:36
[64/4009] LUMZAW_clean_helium_293.0K_0.1bar_14.0 Done. TimeForThis=84.1s, Completed=59/4009, ETA=2025-03-25 09:43:01
[62/4009] FELVEZ_clean_helium_293.0K_0.1bar_14.0 Done. TimeForThis=88.1s, Completed=60/4009, ETA=2025-03-25 09:41:55
[72/4009] XUDYEC_clean_helium_293.0K_0.1bar_14.0 Done. TimeForThis=59.1s, Completed=61/4009, ETA=2025-03-25 09:40:07
[68/4009] VIFBUJ_clean_helium_293.0K_0.1bar_14.0 Done. TimeForThis=79.9s, Completed=62/4009, ETA=2025-03-25 09:37:40
[75/4009] PAFNES_clean_helium_293.0K_0.1bar_14.0 Done. TimeForThis=59.3s, Completed=63/4009, ETA=2025-03-25 09:35:50
[58/4009] XALDAS_clean_helium_293.0K_0.1bar_14.0 Done. TimeForThis=111.0s, Completed=64/4009, ETA=2025-03-25 09:33:16
[44/4009] YEKWOC_clean_helium_293.0K_0.1bar_14.0 Done. TimeForThis=149.3s, Completed=65/4009, ETA=2025-03-25 09:33:23
[82/4009] ONEYOW_clean_helium_293.0K_0.1bar_14.0 Done. TimeForThis=52.1s, Completed=66/4009, ETA=2025-03-25 09:32:20
[74/4009] VEMMAC_clean_helium_293.0K_0.1bar_14.0 Done. TimeForThis=67.1s, Completed=67/4009, ETA=2025-03-25 09:29:37
[83/4009] YORCIT_clean_helium_293.0K_0.1bar_14.0 Done. TimeForThis=51.6s, Completed=68/4009, ETA=2025-03-25 09:29:07
[81/4009] KOSKUA_clean_helium_293.0K_0.1bar_14.0 Done. TimeForThis=63.2s, Completed=69/4009, ETA=2025-03-25 09:31:18
[78/4009] ERAMOB_clean_helium_293.0K_0.1bar_14.0 Done. TimeForThis=66.7s, Completed=70/4009, ETA=2025-03-25 09:29:08
[69/4009] KEXPOU_clean_helium_293.0K_0.1bar_14.0 Done. TimeForThis=92.4s, Completed=71/4009, ETA=2025-03-25 09:28:22
[66/4009] TIDSEE_clean_helium_293.0K_0.1bar_14.0 Done. TimeForThis=107.5s, Completed=72/4009, ETA=2025-03-25 09:26:29
[55/4009] LITCOI_clean_helium_293.0K_0.1bar_14.0 Done. TimeForThis=131.9s, Completed=73/4009, ETA=2025-03-25 09:24:44
[77/4009] NUTYEI_clean_helium_293.0K_0.1bar_14.0 Done. TimeForThis=73.9s, Completed=74/4009, ETA=2025-03-25 09:22:09
[86/4009] cm503311x_alf325K_clean_helium_293.0K_0.1bar_14.0 Done. TimeForThis=52.8s, Completed=75/4009, ETA=2025-03-25 09:20:25
[80/4009] NUDLAB_clean_helium_293.0K_0.1bar_14.0 Done. TimeForThis=74.0s, Completed=76/4009, ETA=2025-03-25 09:19:33
